ID,title,type,image,released,timeline,description,series,number,publisher,ranking
1,Episode IV: A New Hope,Movie,https://minirogue.github.io/SWCovers/Movies/a_new_hope.jpg,5/25/1977,0,The movie that started it all. Luke Skywalker is a young moisture farmer with a great destiny ahead as he journeys into space to save the princess and get the Empire's evil plans into the hands of the heroic terrorist group known as the Rebel Alliance.,Star Wars (movies),4,20th Century Fox,3
2,Episode V: Empire Strikes Back,Movie,https://minirogue.github.io/SWCovers/Movies/empire_strikes_back.jpg,6/20/1980,3,"In this sequel the Empire strikes back! Oh, you already knew that? Okay, well Lando's in this one. So that's cool.",Star Wars (movies),5,20th Century Fox,1
3,Lost Stars,Original Novel,https://minirogue.github.io/SWCovers/Novels/lost_stars.jpg,9/4/2015,4.8,"This follows Thane Kyrell and Ciena Ree, two childhood friends from the outer rim, as they take part in the galactic civil war of Episodes IV-VI. They enlist as together as officers in the Imperial Navy and are thrilled to work on such a magnificent battle station. Until the events of Episode IV causes one of them to defect to the Rebel Alliance. This book follows these characters through all of the main events of Episodes IV, V, and VI, and slightly beyond to the battle of Jakku.",,,Disney-Lucasfilm Press,
4,Episode VI: Return of the Jedi,Movie,https://minirogue.github.io/SWCovers/Movies/return_of_the_jedi.jpg,5/25/1983,4,"The thrilling conclusion of the Star Wars saga (until extended universe novels dealt with what happens after this movie, and then Disney acquired the franchise and decided this wasn't the end).",Star Wars (movies),6,20th Century Fox,4
5,Thrawn,Original Novel,https://minirogue.github.io/SWCovers/Novels/thrawn.jpg,4/11/2017,-6,,Thrawn,,Del Rey Books,
6,Thrawn: Alliances,Original Novel,https://minirogue.github.io/SWCovers/Novels/thrawn_alliances.jpg,7/24/2018,-1.9448,,Thrawn,,Del Rey Books,
7,Episode I: The Phantom Menace,Movie,https://minirogue.github.io/SWCovers/Movies/the_phantom_menace.jpg,5/19/1999,-32,"The fourth Star Wars movie, but the first episode, because George Lucas said so. This is the beginning of the prequel trilogy, taking place in a time of relative peace when Jedi numbered in the thousands and the Sith had been eradicated. Oh wait, there's a Sith... Uh oh.",Star Wars (movies),1,20th Century Fox,8
8,Episode II: Attack of the Clones,Movie,https://minirogue.github.io/SWCovers/Movies/attack_of_the_clones.jpg,5/16/2002,-22,This is the move that comes after episode I and before episode III.,Star Wars (movies),2,20th Century Fox,11
9,Episode III: Revenge of the Sith,Movie,https://minirogue.github.io/SWCovers/Movies/revenge_of_the_sith.jpg,5/19/2005,-19,"The thrilling preclusion... wait that doesn't mean conclusion of prequels, but pretend it does. It's the last movie of the prequel trilogy. A lot of people like this one best of the prequels. I was always more of a Phantom Menace kinda guy, but I will admit that this one has the best Anakin hair.",Star Wars (movies),3,20th Century Fox,9
10,The Clone Wars,Movie,https://minirogue.github.io/SWCovers/Movies/the_clone_wars.jpg,8/15/2008,-21,Computer animated move which serves as a prologue for the TV series of the same name.,The Clone Wars,0,Warner Bros.,12
11,Solo: A Star Wars Story,Movie,https://minirogue.github.io/SWCovers/Movies/solo_a_star_wars_story.jpg,5/25/2018,-12,A movie about a young Han Solo.,,,Disney,5
